article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3087537240,Other,2024-08-03,Globe and Mail,The old cottage country is dead...,Housing; Municipal powers,n/a,Short-term rental (STR) market,n/a (not a party actor),-0.15,Author (feature/analysis),No mention,,Deliberately balanced feature piece (notes both economic benefits and community strain); topics consolidated since sentiment on both facets is similarly mixed-to-mildly-negative.,"""A perfect storm of factors came together to contribute to the emergence of the short-term rental market.""",False,80,82,50,68,,
3087537240,Other,2024-08-03,Globe and Mail,The old cottage country is dead...,Housing,n/a,STR owner (unnamed late-30s cottage owner),"n/a (individual, other actor)",0.2,Self (direct quote),No mention,,"Defends STR renting as a financial necessity, not greed.","""There's no way any younger generation can come in and buy real estate here without renting it out.""",True,85,75,60,88,,
3087537240,Other,2024-08-03,Globe and Mail,The old cottage country is dead...,Municipal powers,n/a,Trent Lakes municipal council,"n/a (municipal official, other actor)",-0.1,"Deputy Mayor Carol Armstrong (self, direct quote)",No mention,,,"""A perfect storm of factors ... inflation, housing costs, remote work.""",True,85,85,58,88,,"Spot-checked: SENTIMENT — DISAGREE. Opus: near-neutral (~-0.1), since Armstrong is diagnostically explaining the STR market's emergence, not condemning the council. Adopted."
3074182151,news/ontario,2024-06-30,Hamilton Spectator,Ontario Science Centre insiders recount the rise and fall of a beloved institution,Science Centre / public institutions [new],education (also consider: infrastructure/public assets),Ontario government (successive),PC (current); note some history predates Ford,-0.6,"Former Science Centre leadership (Lockhart, Lewis, Von Appen — combined, other actors)",No mention,,"Combined because all three are non-party 'other actors' converging on the same critique (chronic underfunding, no negotiating power over union costs, benign neglect).","Lockhart: ""I'd say benign neglect would be a good way of describing what happened over successive governments of every stripe.""",True,78,85,80,85,,
3074182151,news/ontario,2024-06-30,Hamilton Spectator,Ontario Science Centre insiders recount the rise and fall of a beloved institution,Science Centre / public institutions [new],education,Ontario Science Centre (the institution),n/a,0.8,"Chris Hadfield (astronaut, self, direct quote)",No mention,,"Nostalgic personal-memory narrative, distinct in kind from the institutional-funding critique above — kept as its own row since it's effectively a different actor (the institution-as-childhood-memory vs. government-as-funder).","""A small, actual piece of the moon that Neil Armstrong and Buzz Aldrin had picked up ... shipped to Toronto ... for me to see it.""",True,78,80,88,90,,
2929126521,opinion/letters-to-the-editor,2024-02-21,Toronto Star,Increasing corporate taxes would restore wealth to governments,Taxes,n/a,Doug Ford / Ontario government,PC,-0.7,"Public (letter writers Bahlieda, Bradley — combined)","Yes — published citizen letters directly reacting to a provincial tax-policy column, one explicitly targeting Ford ('has indeed swallowed the tapeworm').",,"Multi-letter opinion page; only the Ontario-relevant letters (taxes, kindergarten, transit) were coded — letters on the terrorism peace bond and Ukraine support were excluded as out of scope per Step 1, even though the article as a whole passed screening. A car-theft letter (crime topic) offered policy suggestions with no actor to evaluate, so it's logged in the article-topic summary but has no sentiment row.","""Premier Doug Ford has indeed swallowed the tape worm and we will all pay for it.""",True,88,85,82,80,85,
2929126521,opinion/letters-to-the-editor,2024-02-21,Toronto Star,Increasing corporate taxes would restore wealth to governments,Education,n/a,Doug Ford government / Education Minister Stephen Lecce,PC,-0.6,"Public (letter writer, retired educator)",Yes — citizen letter reacting to provincial kindergarten curriculum reform.,,,"""I am very concerned about Doug Ford government's direction in reforming the kindergarten program.""",True,90,85,80,85,85,
2929126521,opinion/letters-to-the-editor,2024-02-21,Toronto Star,Increasing corporate taxes would restore wealth to governments,Public transit,n/a,Doug Ford / Ontario government,PC,-0.4,Public (letter writer),"Yes — citizen letter on LRT delay, referencing Ford's own ""Get It Done"" slogan back at him.",,,"""I hope Premier Doug Ford will apply his 'Get It Done' mantra to getting the Eglinton Crosstown LRT running by this Spring.""",True,88,82,70,82,80,
3035427840,News,2024-04-11,Toronto Star,Tories unveil bill to spur housing starts,Housing,n/a,Doug Ford / Ontario government (Housing Minister Paul Calandra),PC,0.4,"Calandra (self, direct quote)",No mention,,,"""These measures recognize the struggles that our municipal partners have faced in building homes.""",True,90,88,72,88,,
3035427840,News,2024-04-11,Toronto Star,Tories unveil bill to spur housing starts,Housing,n/a,Doug Ford / Ontario government,PC,-0.6,Liberal (Bonnie Crombie),No mention,,,"""a random grab-bag of small-ball measures the Ford government could have done years ago if they were serious.""",True,90,88,82,90,,
3035427840,News,2024-04-11,Toronto Star,Tories unveil bill to spur housing starts,Municipal powers,n/a,Doug Ford,PC,-0.3,Author,No mention,,Formally breaks a personal promise made to the late Hazel McCallion — split from the Calandra row above since sentiment diverges (+0.4 vs -0.3).,"""also formally breaks the premier's promise to the late Hazel McCallion that he would dissolve Peel Region.""",False,75,88,58,72,,
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,'A lot of people are very angry': How a Doug Ford promise set off a health-care fight in cottage country,Health care,n/a,Doug Ford / Ontario government,PC,-0.5,Author,No mention,,,"""Sharp disagreement ... is overshadowing the premier's assurances from April 2022.""",False,90,88,68,72,,
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,'A lot of people are very angry': How a Doug Ford promise set off a health-care fight in cottage country,Health care,n/a,Doug Ford / Ontario government (the original 2022 promise),PC,0.5,"Ford himself (self, direct quote)",No mention,,Kept separate from the author's current-day skeptical framing above — the promise's original framing was confidently positive.,"""It's time you get the modern hospital capacity you desperately need.""",True,90,90,78,88,,
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,'A lot of people are very angry': How a Doug Ford promise set off a health-care fight in cottage country,Health care,n/a,Muskoka Algonquin Healthcare / provincial hospital plan,"n/a (health authority, not a party actor)",-0.7,"Bracebridge-area doctors (Wu, Kappos, 47-physician open letter — combined, other actors)",No mention,,Combined as 'other actors' sharing a strongly critical sentiment.,"""There's definitely been some drama"" ... open letter urges community to ""reject this proposed model.""",True,90,85,85,85,,
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,'A lot of people are very angry': How a Doug Ford promise set off a health-care fight in cottage country,Health care,n/a,Muskoka Algonquin Healthcare,n/a,0.3,"CEO Cheryl Harrison (self, direct quote)",No mention,,,"""We are dedicated to meeting Muskoka's evolving health-care needs now and into the future.""",True,90,85,72,88,,
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,'A lot of people are very angry': How a Doug Ford promise set off a health-care fight in cottage country,Health care,n/a,Provincial hospital redevelopment plan,n/a,-0.6,Advocacy/interest group (Ontario Health Coalition spokesperson Vanderstelt) — reclassified from Public,No mention (reclassified — see crosscheck note),,,"Vanderstelt: ""There is no way for the current administration to pull this out of the fire.""",True,88,82,78,80,,"Spot-checked: ASCRIBING — DISAGREE. Opus: a named advocacy-group spokesperson at an organized rally is a mobilized interest-group voice, not spontaneous general-public reaction; coding it as 'Public' would inflate public-sentiment signal at corpus scale. Reclassified as 'Advocacy/interest group' and removed the public_reaction flag. This refines the public-reaction definition further: general public/voter quotes = Public; organized advocacy/interest-group spokespeople = a distinct ascriber category, even when quoted at a public rally."
3056106404,News,2024-05-18,Globe and Mail,Ottawa rejects Toronto's decriminalization request,Crime; Health care,n/a,Doug Ford,PC,-0.2,Author,No mention,,"Federal-provincial jurisdiction story; Ford's opposition is a key factor in the federal rejection, so kept in scope despite the deciding actor being federal.","""Ontario Premier Doug Ford has been staunchly opposed to Toronto's proposal and has ramped up the pressure.""",False,78,90,55,72,,
3056106404,News,2024-05-18,Globe and Mail,Ottawa rejects Toronto's decriminalization request,Crime; Health care,n/a,Federal government (Minister Ya'ara Saks),"n/a (federal, not an Ontario party actor)",0.2,"Saks (self, direct quote)",No mention,,"Secondary federal voice within an otherwise Ontario-relevant story — flagged as a scope judgment call, same as the U.S. governors in article 1.","""This government remains committed to addressing substance use and addiction as a health issue.""",True,78,88,60,88,,
3061567093,News,2024-05-30,Globe and Mail,Ontario Education Minister criticizes social-media lawsuit,Education; Social media / online child safety [new],education,"Ontario school boards (5+, combined)","n/a (institutional, not a party actor)",0.3,Self (collective legal action),No mention,,"New topic tag added since this is arguably a distinct tech-regulation policy area, not just generic schooling — flagged with potential_merge=education per the escape-valve rule.","Suing platforms for ""designing unsafe and addictive products that harm the mental health of students.""",False,68,85,65,70,,
3061567093,News,2024-05-30,Globe and Mail,Ontario Education Minister criticizes social-media lawsuit,Education; Social media / online child safety [new],education,Ontario school boards,n/a,-0.5,"Stephen Lecce (Education Minister, PC, self, direct quote)",No mention,,,"""school boards could have, should have taken action years ago.""",True,68,90,80,90,,
3061567093,News,2024-05-30,Globe and Mail,Ontario Education Minister criticizes social-media lawsuit,Social media / online child safety [new],education,Meta / TikTok / Snap (social-media companies),n/a,-0.7,School boards' legal claim / lawyer Duncan Embury,No mention,,,"Embury: ""These tech giants have built products, negligently designed for compulsive use.""",True,65,88,80,85,,
3061567093,News,2024-05-30,Globe and Mail,Ontario Education Minister criticizes social-media lawsuit,Social media / online child safety [new],education,Meta / TikTok / Snap,n/a,0.3,"Company spokespeople (self, combined — Laventure, Morgan, Johnson)",No mention,,"Combined as 'other actors' (three company spokespeople, aligned conciliatory-defensive sentiment).","Laventure: ""looks forward to meeting ... to discuss how the government can work collaboratively.""",True,65,82,68,80,,
3126483201,politics/provincial,2024-11-10,Hamilton Spectator,'The person using that bike lane could be your doctor': Hundreds rally to protest Ford government's plan to remove bike lanes,Public transit (bike lanes),n/a — explicit match to the topic list's bike-lane note,Doug Ford government (Bill 212),PC,-0.7,"Protesters/crowd (combined, other actors)","Yes — hundreds-strong rally with chants and signs, a clear stated public reaction to a provincial policy issue.",,,"""save our bike lanes"" ... ""bike lanes save lives.""",True,95,92,82,85,88,
3126483201,politics/provincial,2024-11-10,Hamilton Spectator,'The person using that bike lane could be your doctor': Hundreds rally to protest Ford government's plan to remove bike lanes,Public transit (bike lanes),n/a,Doug Ford government / Transportation Minister Sarkaria,PC,-0.8,NDP MPP Jessica Bell (reading Karen Orme's open letter),"No mention (Orme is a bereaved parent, not framed as a general 'public reaction' data point, though arguably could be)",,"Jessica Bell is a backbench NDP MPP, not the party leader (Stiles) named in the appendix — flagged as an open question whether the no-merge rule is meant to cover all MPPs of a party or only the named leaders.","Orme (read by Bell): ""Our family would give anything to have more time with Alex.""",True,95,88,85,80,,
3126483201,politics/provincial,2024-11-10,Hamilton Spectator,'The person using that bike lane could be your doctor': Hundreds rally to protest Ford government's plan to remove bike lanes,Public transit (bike lanes),n/a,Bike lanes / Bill 212,n/a,-0.5,"Individual cyclists (Tsang, Macfarlane, Sharma, Stanger-Ross, Godfrey — combined, other actors)",No mention,,Combined per the 'other actors' rule; Godfrey's quote tempers the group's average sentiment slightly by explicitly rejecting an 'us vs. them' framing.,"Tsang: ""the person using that bike lane could be your doctor, your personal support worker, or your DoorDash delivery person.""",True,95,80,65,75,,
3126483201,politics/provincial,2024-11-10,Hamilton Spectator,'The person using that bike lane could be your doctor': Hundreds rally to protest Ford government's plan to remove bike lanes,Public transit (bike lanes),n/a,Protest/traffic disruption (not bike-lane policy itself),"n/a (anonymous, other actor)",-0.3,"Frustrated driver (anonymous, self, direct quote)",No mention,,Rare counter-voice in an otherwise pro-bike-lane-leaning article — worth keeping for balance.,"""Hurry up. People have places to go!""",True,90,65,60,80,,"Spot-checked: ACTOR — DISAGREE. Opus: 'Hurry up, people have places to go' is situational irritation at the protest-caused delay, not an evaluation of bike-lane policy; the original actor label ('Cyclists/bike lanes') would wrongly feed this into a policy-sentiment bin. Narrowed the actor accordingly."
