row_id,article_id,agrees,reasoning,before_sentiment,before_topic,before_actor,revised_certainty
r029,3134182555,TRUE,Editorial line 'struck the right balance between emotion and action' is strong praise of Ford's tariff response; 0.8 author-ascribed on tariffs_trade fits.,0.8,tariffs_trade,Doug Ford,85
r065,3162207381,TRUE,'Widely applauded performance as Captain Canada' is net-positive toward Ford despite the columnist's mild cynicism; 0.5 on the tariff performance is reasonable.,0.5,tariffs_trade,Doug Ford,65
r078,3157719754,TRUE,"Embedded public tweet 'Why is Ford continuing with his rhetoric?' is a mild criticism of Ford; -0.4, actor Ford, and public ascribing all fit.",-0.4,tariffs_trade,Ford,70
r103,3081756667,TRUE,OPSEU's charge that Ford 'forced' the strike 'by interfering' is strongly negative toward the Ford government; -0.7 and union ascribing are correct.,-0.7,labour_relations (LCBO strike);alcohol_policy,Ford government (LCBO strike handling / alcohol liberalization plan),85
r072,3080953426,TRUE,Hornick's 'corporate donors' and 'playing politics with... taxpayers' money' is strongly negative toward Ford; -0.7 (arguably -0.8) fits.,-0.7,alcohol,Ford government,82
r025,3129922446,TRUE,A harm-reduction advocate calling the closures 'an overreach of power' is strongly negative toward the Ford/Jones policy; -0.75 is well supported.,-0.75,harm_reduction_drug_policy,Ford government / Sylvia Jones policy,80
r094,3053449546,TRUE,Animal Justice's defense of undercover investigations implicitly condemns the government's appeal; -0.7 toward the Ontario government is defensible.,-0.7,agriculture_trespass_law,Ontario government (Doug Ford's government),72
r085,3123785939,TRUE,"'Bigoted views against Muslims and gay people' is a strongly negative characterization of Furey by critics; -0.8 and actor Furey fit, though the municipal topic tag is shaky.",-0.8,municipal_powers; education,Anthony Furey,62
r092,3156204089,TRUE,"OPSBA's '$776 less per student (inflation-adjusted)' is a negative critique of Ford's education funding; -0.5, education topic, and government actor fit.",-0.5,education,Doug Ford / provincial government,78
r108,3123271354,TRUE,Rakowski's warning about 'under-trained' doctors is a clear criticism of TMU's equity admissions; -0.5 with the policy as actor is right.,-0.5,post_secondary;health_care,TMU equity admissions policy,76
