article_id,title,topic,new_topic,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,context_window,example_quote,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3052716586,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,no (maps to keyATM 'housing'),Doug Ford / Premier's office,PC,-0.7,NDP (Marit Stiles),,,Party leader (NDP) — kept as its own row per the no-merge rule even though its sentiment is close to the oversight-body row below.,full article,"Stiles: ""These documents tell a different story.""",92,93,80,95,,Not sampled in spot-check.
3052716586,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,no (maps to keyATM 'housing'),Doug Ford / Premier's office,PC,-0.85,Independent oversight bodies (Auditor General + Integrity Commissioner),,,"These two bodies were combined into one row because they are 'other actors' (not provincial party leaders) that reached the same finding — permitted, not required, under the new combine rule.",full article,"Integrity Commissioner: process was ""rushed and favoured well-connected developers.""",92,93,88,90,,Not sampled in spot-check.
3052716586,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,no (maps to keyATM 'housing'),Doug Ford / Premier's office,PC,-0.7,Author (investigative framing/structure),,,Author's framing treated as a distinct ascriber from the sourced quotes/findings above it summarizes and structures.,full article,"Headline/framing: ""reignite questions about... involvement.""",92,90,78,72,,Not sampled in spot-check.
3052716586,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,no (maps to keyATM 'housing'),Doug Ford / Premier's office,PC,0.3,Ford's office (spokesperson Caitlin Clark) — self-ascribed defense,,,"PC ascribing about PC (self-defense) — kept as its own row per the appendix rule that PC/Ford/'the government' must not be merged away, even when it is defending itself rather than a critic.",full article,"Clark: ""premiers' office staff were not involved in specific site selection.""",92,90,60,88,,Not sampled in spot-check.
3033844868,Fundraiser at centre of major scandal (obituary of Patti Starr),Crime (fraud conviction),no (maps to keyATM 'crime'),Patti Starr (deceased),"n/a (historical figure, no current party)",-0.2,Author (obituary narrative),No mention,"David Peterson (then-premier), Bob Rae, Supreme Court of Canada","Historical (1990-91) scandal, not current 2025-election coverage — same Step-1 edge case flagged before.",full article,"""I lived through some of these conditions and know how frustrating and mind-numbing they become.""",70,90,55,80,,Spot-checked: ASCRIBING agree (Opus: 82%).
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford,PC,0.5,Ford himself (self-quotes),No mention,,Self-ascribed positive framing; contrast with the three opposition rows below.,full article,"""I will do whatever it takes to protect the people of Ontario... We will not back down.""",90,95,82,90,,Not sampled in spot-check.
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford,PC,-0.7,NDP (Marit Stiles),,,"Kept separate from the Liberal row per the no-merge-party-leaders rule, even though both are directionally negative.",full article,"Stiles: ""He thinks he can con Ontarians with an early election to escape his record.""",90,95,85,93,,Not sampled in spot-check.
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford,PC,-0.75,Liberal (Bonnie Crombie),,,Kept separate from the NDP row per the no-merge rule; also more personally pointed (RCMP investigation angle) than Stiles's framing.,full article,"Crombie: ""Ford is scrambling to outrun the RCMP investigation into his Greenbelt scandal... abandoning his post.""",90,95,83,93,,"Spot-checked: SENTIMENT agree (Opus even suggested slightly more negative, -0.8, at 86% certainty)."
3159749017,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford / the election call,PC (target); ascriber = Green,-0.4,Green (Mike Schreiner),,,Softer than Stiles/Crombie — focused on election timing/stability rather than personally attacking Ford.,full article,"Schreiner: ""In the face of looming tariff threats, Ontario needs stability, not an election.""",85,93,65,90,,Not sampled in spot-check.
3059793506,"Yes, Sylvia Jones should resign; Letters to the editor",Health care,no (maps to keyATM 'health_care'),Sylvia Jones (Ontario Health Minister),PC,-0.9,Public (reader letter to the editor),Yes — this entire piece is a member of the public reacting; the letter-writer directly calls for her resignation.,"Union of Family Physicians, CHEO",Clean example of public sentiment ascription since the source is literally a citizen's letter.,full article,"""go way beyond tone-deaf""",90,85,92,88,90,"Spot-checked: ACTOR agree (Opus: 90%) — grouping Jones under PC/government is correct even though she isn't literally named in the appendix, since the mapping is about affiliation not a name match."
3059793506,"Yes, Sylvia Jones should resign; Letters to the editor",Health care,no (maps to keyATM 'health_care'),Sylvia Jones (Ontario Health Minister),PC,-0.85,Union of Family Physicians (professional association),,,"Kept as a distinct row from the public letter-writer since it's an organized professional body, not an individual member of the public.",full article,"""Family doctor group calls for Ontario health minister's resignation.""",90,85,85,88,,Not sampled in spot-check.
3059793506,"Yes, Sylvia Jones should resign; Letters to the editor",Tariffs/trade,"n/a — actually general government criticism, not tariffs; see note",Doug Ford,PC,-0.8,Public (same letter writer),Yes — same letter-writer also targets Ford directly.,,"MISCODED TOPIC LABEL LEFT IN FOR TRANSPARENCY — this row is about general government accountability, not tariffs; it doesn't cleanly fit any of the 8 keyATM topics. Should probably be tagged as a new topic ('Government accountability') rather than defaulting to an existing one. Flagged as a process note, not corrected silently.",full article,"""Doug Ford should also take some responsibility for this massive gaff and resign too.""",50,90,80,88,88,"Spot-checked: SENTIMENT agree (Opus: -0.8, 85%)."
3163297700,Ontario's election adventures through Trump's looking glass; Trade war,Tariffs/trade,no (maps to keyATM 'tariffs_trade'),Doug Ford / the trade war,PC,-0.3,Author (sardonic opinion tone),No mention,,,full article,"""Premier Doug Ford put that dream to rest in recent days"" [that costs wouldn't rise].",82,88,57,70,,Not sampled in spot-check.
3163297700,Ontario's election adventures through Trump's looking glass; Trade war,Campaign dynamics / opposition strategy,yes,Ontario Liberals (Crombie),Liberal,-0.45,Author,No mention,,"Actor-side application of the appendix rule: treated Liberal and NDP as distinct actor rows rather than merging them, by analogy with the ascribing-side no-merge rule for party leaders (the prompt doesn't explicitly say this applies to actors — flagged for confirmation).",full article,"""the Ontario Liberals and New Democrats - a distant second and third, respectively, in the polls - are struggling to shift the discussion.""",65,75,60,70,,"Spot-checked: TOPIC agree (Opus: 75%, notes it's legitimately off-schema, not forceable into the 8 keyATM topics)."
3163297700,Ontario's election adventures through Trump's looking glass; Trade war,Campaign dynamics / opposition strategy,yes,Ontario NDP (Stiles),NDP,-0.45,Author,No mention,,See previous row's note on the actor-side no-merge interpretation.,full article,"""the Ontario Liberals and New Democrats - a distant second and third, respectively, in the polls - are struggling to shift the discussion.""",65,75,60,70,,Not sampled in spot-check (same underlying sentence as previous row).
